draw_date,winning_numbers,num1,num2,num3,num4,num5,num6
2016-07-09,08 10 46 48 50 58,8,10,46,48,50,58
2016-07-13,04 05 10 32 34 44,4,5,10,32,34,44
2016-07-16,14 21 27 36 53 56,14,21,27,36,53,56
2016-07-20,02 26 32 40 43 59,2,26,32,40,43,59
2016-07-23,03 26 27 53 55 58,3,26,27,53,55,58
2016-07-27,04 14 30 33 49 54,4,14,30,33,49,54
2016-07-30,01 06 08 09 18 38,1,6,8,9,18,38
2016-08-03,09 16 22 27 46 51,9,16,22,27,46,51
2016-08-06,13 18 21 27 58 59,13,18,21,27,58,59
2016-08-10,09 12 14 17 26 28,9,12,14,17,26,28
2016-08-13,01 05 13 26 35 53,1,5,13,26,35,53
2016-08-17,15 21 26 39 46 53,15,21,26,39,46,53
2016-08-20,04 08 27 31 33 54,4,8,27,31,33,54
2016-08-24,41 43 49 57 58 59,41,43,49,57,58,59
2016-08-27,17 22 35 40 43 50,17,22,35,40,43,50
2016-08-31,17 23 24 28 32 57,17,23,24,28,32,57
2016-09-03,03 09 26 34 48 59,3,9,26,34,48,59
2016-09-07,16 22 31 37 48 52,16,22,31,37,48,52
2016-09-10,04 05 13 21 53 57,4,5,13,21,53,57
2016-09-14,05 17 18 32 37 56,5,17,18,32,37,56
2016-09-17,12 13 21 50 56 58,12,13,21,50,56,58
2016-09-21,04 08 13 30 36 58,4,8,13,30,36,58
2016-09-24,16 21 32 33 35 57,16,21,32,33,35,57
2016-09-28,07 43 48 54 58 59,7,43,48,54,58,59
2016-10-01,01 04 13 15 30 33,1,4,13,15,30,33
2016-10-05,01 28 29 31 55 58,1,28,29,31,55,58
2016-10-08,02 09 29 40 55 57,2,9,29,40,55,57
2016-10-12,01 12 17 28 46 47,1,12,17,28,46,47
2016-10-15,01 08 17 18 24 42,1,8,17,18,24,42
2016-10-19,02 17 25 36 40 46,2,17,25,36,40,46
2016-10-22,14 26 30 35 50 56,14,26,30,35,50,56
2016-10-26,18 22 41 45 49 56,18,22,41,45,49,56
2016-10-29,10 13 40 44 51 55,10,13,40,44,51,55
2016-11-02,09 21 24 26 50 54,9,21,24,26,50,54
2016-11-05,05 11 15 23 26 42,5,11,15,23,26,42
2016-11-09,21 23 25 28 46 59,21,23,25,28,46,59
2016-11-12,12 22 28 30 48 59,12,22,28,30,48,59
2016-11-16,02 21 25 26 40 57,2,21,25,26,40,57
2016-11-19,13 25 32 47 52 57,13,25,32,47,52,57
2016-11-23,06 09 10 18 25 42,6,9,10,18,25,42
2016-11-26,06 16 22 25 31 56,6,16,22,25,31,56
2016-11-30,07 13 18 19 38 51,7,13,18,19,38,51
2016-12-03,12 42 49 53 54 59,12,42,49,53,54,59
2016-12-07,08 09 19 34 39 43,8,9,19,34,39,43
2016-12-10,10 18 30 44 50 56,10,18,30,44,50,56
2016-12-14,18 19 32 38 49 54,18,19,32,38,49,54
2016-12-17,16 24 25 28 51 52,16,24,25,28,51,52
2016-12-21,06 23 25 39 42 53,6,23,25,39,42,53
2016-12-24,04 48 51 52 54 57,4,48,51,52,54,57
2016-12-28,16 21 40 41 44 49,16,21,40,41,44,49
2016-12-31,03 16 25 40 44 50,3,16,25,40,44,50
2017-01-04,10 19 29 30 33 56,10,19,29,30,33,56
2017-01-07,18 22 29 37 43 52,18,22,29,37,43,52
2017-01-11,12 13 16 49 50 59,12,13,16,49,50,59
2017-01-14,09 13 16 23 35 58,9,13,16,23,35,58
2017-01-18,05 14 27 32 33 46,5,14,27,32,33,46
2017-01-21,11 31 44 45 48 53,11,31,44,45,48,53
2017-01-25,03 09 29 49 51 54,3,9,29,49,51,54
2017-01-28,02 03 18 35 56 58,2,3,18,35,56,58
2017-02-01,01 13 14 20 41 45,1,13,14,20,41,45
2017-02-04,01 08 14 33 48 59,1,8,14,33,48,59
2017-02-08,06 23 27 45 47 49,6,23,27,45,47,49
2017-02-11,15 23 28 34 45 53,15,23,28,34,45,53
2017-02-15,01 03 10 24 35 56,1,3,10,24,35,56
2017-02-18,09 26 28 34 36 57,9,26,28,34,36,57
2017-02-22,15 17 21 38 40 42,15,17,21,38,40,42
2017-02-25,04 25 26 34 40 46,4,25,26,34,40,46
2017-03-01,05 07 08 13 25 28,5,7,8,13,25,28
2017-03-04,03 09 18 46 47 55,3,9,18,46,47,55
2017-03-08,03 13 20 25 31 39,3,13,20,25,31,39
2017-03-11,01 17 21 33 44 45,1,17,21,33,44,45
2017-03-15,13 22 27 29 30 40,13,22,27,29,30,40
2017-03-18,01 03 20 27 30 49,1,3,20,27,30,49
2017-03-22,08 20 27 32 36 54,8,20,27,32,36,54
2017-03-25,07 18 39 43 45 46,7,18,39,43,45,46
2017-03-29,05 20 25 44 50 53,5,20,25,44,50,53
2017-04-01,01 04 16 25 29 56,1,4,16,25,29,56
2017-04-05,14 15 21 23 41 50,14,15,21,23,41,50
2017-04-08,04 15 24 33 37 58,4,15,24,33,37,58
2017-04-12,02 10 38 50 53 57,2,10,38,50,53,57
2017-04-15,04 07 12 17 26 55,4,7,12,17,26,55
2017-04-19,04 29 30 34 46 54,4,29,30,34,46,54
2017-04-22,09 28 31 45 49 50,9,28,31,45,49,50
2017-04-26,05 21 24 31 32 55,5,21,24,31,32,55
2017-04-29,09 24 34 40 47 59,9,24,34,40,47,59
2017-05-03,40 41 51 52 53 56,40,41,51,52,53,56
2017-05-06,03 23 31 46 53 55,3,23,31,46,53,55
2017-05-10,01 04 07 23 43 54,1,4,7,23,43,54
2017-05-13,04 26 33 35 54 55,4,26,33,35,54,55
2017-05-17,12 20 22 26 37 59,12,20,22,26,37,59
2017-05-20,13 14 24 35 36 50,13,14,24,35,36,50
2017-05-24,05 08 16 26 34 49,5,8,16,26,34,49
2017-05-27,07 17 30 34 47 58,7,17,30,34,47,58
2017-05-31,09 12 29 30 43 59,9,12,29,30,43,59
2017-06-03,22 23 31 33 46 52,22,23,31,33,46,52
2017-06-07,05 08 13 19 28 53,5,8,13,19,28,53
2017-06-14,04 19 27 36 46 50,4,19,27,36,46,50
2017-06-17,09 16 18 34 45 51,9,16,18,34,45,51
2017-06-21,10 14 29 30 33 37,10,14,29,30,33,37
2017-06-24,06 14 18 23 31 37,6,14,18,23,31,37
2017-06-28,30 32 35 40 50 58,30,32,35,40,50,58
2017-07-01,20 32 40 46 52 54,20,32,40,46,52,54
2017-07-05,18 19 21 30 54 56,18,19,21,30,54,56
2017-07-08,07 21 24 33 41 45,7,21,24,33,41,45
2017-07-12,17 24 27 29 31 49,17,24,27,29,31,49
2017-07-15,04 06 17 20 34 43,4,6,17,20,34,43
2017-07-19,15 22 27 34 49 57,15,22,27,34,49,57
2017-07-22,11 23 28 37 40 41,11,23,28,37,40,41
2017-07-26,07 15 20 25 34 59,7,15,20,25,34,59
2017-07-29,19 21 22 28 41 42,19,21,22,28,41,42
2017-08-02,03 23 29 31 42 53,3,23,29,31,42,53
2017-08-05,19 32 33 34 44 54,19,32,33,34,44,54
2017-08-09,05 12 14 42 52 55,5,12,14,42,52,55
2017-08-12,05 19 26 41 44 50,5,19,26,41,44,50
2017-08-16,12 13 27 54 55 56,12,13,27,54,55,56
2017-08-19,10 25 30 31 36 58,10,25,30,31,36,58
2017-08-23,09 23 34 37 52 56,9,23,34,37,52,56
2017-08-26,12 25 32 33 47 55,12,25,32,33,47,55
2017-08-30,03 08 14 17 37 53,3,8,14,17,37,53
2017-09-02,17 39 44 48 55 59,17,39,44,48,55,59
2017-09-06,23 33 39 49 53 57,23,33,39,49,53,57
2017-09-09,02 14 19 54 56 58,2,14,19,54,56,58
2017-09-13,02 28 35 45 49 54,2,28,35,45,49,54
2017-09-16,06 11 15 20 25 27,6,11,15,20,25,27
2017-09-20,17 23 52 53 55 58,17,23,52,53,55,58
